Ticker,Name,Country,Fundamental Score,ROE %,Sales Growth %,Profit Growth %,Profit Margin %,Debt/Equity,Trailing PE,Forward PE,Trailing EPS,Forward EPS,Improving Score,Revenue Trend,Earnings Trend,Margin Trend,ROE Trend,EPS Trend,Analyst Trend,Was Loss Now Profit,Latest Net Income,Latest Revenue,Latest EPS (Quarterly),Previous EPS (Quarterly)
ETERNAL.NS,Eternal,India,84,,182.0,233.3,0.642,14.826,728.04346,89.03931,0.46,3.76126,1,up,flat,flat,flat,flat,flat,False,920000000.0,202110000000.0,0.1,0.19
POLICYBZR.NS,PB Fintech,India,92,,40.1,92.30000000000001,10.2019995,4.922,109.96916,53.380222,16.21,33.39439,-1,flat,flat,flat,flat,flat,down,False,1628900000.0,18882800000.0,3.5,5.61
DLF.NS,DLF,India,63,10.102,-52.900000000000006,4.2,65.791,0.673,36.66296,25.931818,17.98,25.42051,-2,down,flat,flat,flat,flat,down,False,7939000000.0,12803400000.0,3.21,5.12
LODHA.NS,Macrotech Developers,India,95,,43.1,103.3,22.692,42.238,27.73356,23.288303,41.21,49.07614,4,up,up,up,flat,up,up,False,13721000000.0,49967000000.0,13.7,10.07
OBEROIRLTY.NS,Oberoi Realty,India,96,,31.7,28.9,41.592997,15.765,25.14594,17.027353,72.29,106.75764,0,flat,flat,flat,flat,flat,flat,False,5435100000.0,13008900000.0,14.94,19.34
HINDCOPPER.NS,Hindustan Copper,India,100,,81.39999999999999,161.9,32.494,3.319,42.759796,24.251207,11.74,20.7,-1,flat,flat,down,flat,flat,flat,False,3523700000.0,9365000000.0,3.64,4.59
JINDALSTEL.NS,Jindal Steel & Power,India,63,,25.900000000000002,-43.7,4.818,43.613,42.672676,12.914278,26.64,88.0266,1,flat,flat,flat,flat,flat,up,True,8447900000.0,155528300000.0,8.3,10.27
NMDC.NS,NMDC,India,68,,0.8,0.4,23.216998999999998,18.802,9.463444,7.7627363,8.48,10.33785,0,flat,flat,flat,flat,flat,flat,False,19763300000.0,67952500000.0,2.25,2.31
HINDALCO.NS,Hindalco Industries,India,84,,32.1,75.1,5.5489999999999995,72.598,13.297598,8.81659,73.69,111.14274,4,up,up,up,flat,up,up,False,70130000000.0,848250000000.0,31.51,11.67
HINDZINC.NS,Hindustan Zinc,India,98,,71.7,144.6,38.068000000000005,39.034,14.574363,13.287219,40.41,44.32455,4,up,up,up,flat,up,up,False,54690000000.0,130330000000.0,12.94,11.91
AAPL,Apple,USA,90,148.75101,16.400000000000002,28.7,27.618998,78.445,38.591274,35.05517,8.71,9.5886,1,flat,up,up,flat,up,down,False,29789000000.0,109417000000.0,2.02,2.01
MSFT,Microsoft,USA,93,34.039003,17.7,31.7,40.305,29.118,27.47802,20.929373,17.97,23.59268,2,up,up,up,flat,up,down,False,35766000000.0,90007000000.0,4.81,4.27
NVDA,NVIDIA,USA,99,117.211,105.89999999999999,127.8,63.663000000000004,16.971,28.099874,14.173006,7.91,15.68263,3,up,up,flat,flat,up,up,False,59688000000.0,96221000000.0,2.46,2.39
AMZN,Amazon,USA,91,30.558002000000002,19.6,242.3,17.44,45.617,20.411102,24.453907,12.43,10.37503,2,up,up,flat,up,up,down,False,,,5.75,2.78
GOOGL,Alphabet,USA,98,48.676,24.2,294.0,54.771,18.859,17.54719,23.48764,19.92,14.88187,3,up,up,up,up,up,down,False,112193000000.0,119796000000.0,9.11,5.11
META,Meta Platforms,USA,80,29.848000000000003,28.000000000000004,-13.4,29.834998000000002,42.997,25.06589,19.043377,26.56,34.95966,0,up,flat,flat,flat,flat,down,False,15848000000.0,60801000000.0,6.18,10.44
